Seq,Subject ID,Action,Share,PathRoot,PathMid,PathTail,fileName,fileType,Bytes,Start Hr,Start Min,Start Sec,Finish Hr,Finish Min,Finish Sec
10,222,OPENMS,EMPTY,Users,john:ConvoyPlanning:,Crew,Crew_Roster.xls,.xls,17045,14,57,6.79,14,57,18.825
11,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,20112,14,57,47.287,14,57,47.5
12,222,LIST_DIR,EMPTY,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,1040,14,57,47.295,14,57,47.5
13,222,LIST_DIR,EMPTY,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,29973,14,57,53.827,14,57,54.895
14,222,OPEN,EMPTY,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,2693,14,57,58.304,14,57,58.522
15,222,WRITE,EMPTY,Users,john:ConvoyPlanning:Crew:,Workflow,log.txt,.txt,6233,14,58,18.833,14,58,24.711
16,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:Crew:,Workflow,EMPTY,EMPTY,13067,14,58,48.676,14,58,48.84
17,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,4743,14,58,49.605,14,58,51.79
18,222,DELETE,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,Evans_dd_1821_17_Nov.pdf,.pdf,3842,14,58,51.79,14,59,6.824
19,222,CHANGE_DIR,EMPTY,Users,,Users,EMPTY,EMPTY,47302,14,59,7.479,14,59,9.438
20,222,CHANGE_DIR,EMPTY,Users,john:,ConvoyPlanning,EMPTY,EMPTY,16766,14,59,16.975,14,59,17.407
21,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:,Crew,EMPTY,EMPTY,11542,14,59,21.608,14,59,22.054
22,222,CHANGE_DIR,EMPTY,Users,john:ConvoyPlanning:Crew:,Inbox,EMPTY,EMPTY,8934,14,59,24.929,14,59,25.294
